intrinsic_dim,observed_dim,model,n,test_mean,test_std,train_mean,train_std,gap_mean,gap_std,snr_mean,snr_std,contrast_mean,contrast_std,test_se,train_se,gap_se,test_ci_low,test_ci_high,train_ci_low,train_ci_high,gap_ci_low,gap_ci_high,snr_se,contrast_se,snr_ci_low,snr_ci_high,contrast_ci_low,contrast_ci_high
64,16,knn_k11,20,0.6004166666666666,0.02932912150782994,0.6912708333333334,0.023132940789303093,0.09085416666666661,0.022144476345182306,0.6003172846608384,0.023983072410539968,1.6081029281192785,0.049064869327457614,0.006558190941185887,0.005172682812435935,0.0049516554433963736,0.5875626124219423,0.6132707209113909,0.6811323750209589,0.7014092916457079,0.08114892199760972,0.1005594113357235,0.005362778021926711,0.01097123831233396,0.5898062397378621,0.6108283295838148,1.586599301027104,1.629606555211453
64,32,knn_k11,20,0.5773333333333334,0.02240901030144033,0.6866875,0.019981934000579363,0.10935416666666661,0.0220895286741656,1.8466153623181722,0.08100040211512703,0.9302305204793961,0.022776597648882065,0.005010807034251363,0.004468096274720977,0.004939368770636508,0.5675121515462007,0.587154515120466,0.6779300313015469,0.6954449686984531,0.09967300387621905,0.11903532945711418,0.018112240533424178,0.005093002063906218,1.8111153708726608,1.8821153537636837,0.92024823643414,0.9402128045246523
64,64,knn_k11,20,0.5822499999999999,0.028619683039997852,0.6949166666666666,0.01744697480437686,0.11266666666666665,0.023022443283388535,17.084542671070473,0.8910970374033794,0.5726577940426866,0.009554729062992307,0.006399555677193303,0.0039012621664312754,0.005147974818979021,0.5697068708727011,0.5947931291272988,0.6872701928204613,0.7025631405128719,0.10257663602146777,0.12275669731186553,0.1992553550182629,0.0021365023691443667,16.694002175234676,17.47508316690627,0.5684702493991636,0.5768453386862096
64,128,knn_k11,20,0.53075,0.01767539506328712,0.6436041666666668,0.017036615087950128,0.11285416666666663,0.014477545504345993,21.016396832658764,1.0811851324732202,0.36848865497854566,0.0049776199929813855,0.003952338489067419,0.003809502944315504,0.0032372775895064118,0.5230034165614279,0.5384965834385722,0.6361375408958083,0.6510707924375252,0.10650910259123406,0.1191992307420992,0.24176034524722356,0.0011130296670468403,20.542546555974205,21.490247109343322,0.36630711683113387,0.37067019312595745
64,256,knn_k11,20,0.4803333333333333,0.025947540419106577,0.5970625,0.018310629382733236,0.11672916666666662,0.02340811754723697,32.77282051036454,1.6598589869025588,0.23998098971791118,0.004284293303938163,0.0058020464226045685,0.004094381201059653,0.0052342142060927506,0.4689613223450283,0.49170534432163826,0.5890375128459231,0.605087487154077,0.10647010682272483,0.1269882265106084,0.37115575277780544,0.0009579971063152898,32.04535523492004,33.50028578580904,0.23810331538953322,0.24185866404628914
64,512,knn_k11,20,0.42424999999999996,0.014022486119054064,0.5616458333333333,0.014895760489332357,0.13739583333333333,0.021391161258116867,105.84469602299575,5.236737259982265,0.15314449261382465,0.002236621958696584,0.0031355232175752095,0.003330793303070268,0.004783209069080923,0.41810437449355253,0.4303956255064474,0.5551174784593156,0.568174188207351,0.12802074355793472,0.14677092310873194,1.1709700493626332,0.0005001238739614289,103.54959472624499,108.1397973197465,0.15216424982086024,0.15412473540678906
64,768,knn_k11,20,0.3973333333333333,0.021222849872840975,0.5484583333333333,0.013338198125675205,0.15112499999999995,0.024359897480555157,123920204458713.38,6014647357990.34,0.11365517530431964,0.0014025738362069284,0.0047455734991945185,0.002982511770637004,0.005447038669144719,0.38803200927491205,0.4066346573917546,0.5426126102628848,0.5543040564037818,0.1404488042084763,0.1618011957915236,1344916035315.5913,0.00031362504412213476,121284169029494.81,126556239887931.94,0.11304047021784025,0.11426988039079902
256,16,knn_k11,20,0.593,0.028183816018774278,0.693875,0.01926419693695355,0.10087499999999998,0.02011112221737277,0.14508965029140222,0.0030281609694241232,1.5815172365596293,0.01870970147806351,0.006302092848332677,0.004307605388297137,0.004496983638185181,0.5806478980172679,0.605352101982732,0.6854320934389376,0.7023179065610624,0.09206091206915702,0.10968908793084294,0.0006771173774444001,0.00418361643436783,0.1437625002316112,0.14641680035119325,1.5733173483482683,1.5897171247709903
256,32,knn_k11,20,0.5705,0.0200080393199059,0.6805208333333334,0.013589826641936774,0.11002083333333332,0.02332764459162094,0.3111405829979862,0.0069208201744225106,0.9217218495441288,0.016512252505870323,0.004473933601579825,0.003038777617380832,0.005216219906181974,0.5617310901409035,0.5792689098590965,0.6745648292032669,0.6864768374633998,0.09979704231721664,0.12024462434944999,0.0015475424370060683,0.0036922519064767284,0.3081073998214543,0.3141737661745181,0.9144850358074345,0.9289586632808232
256,64,knn_k11,20,0.538,0.02142305693455191,0.6609166666666667,0.014544497160810256,0.12291666666666663,0.021476050852843456,0.7467804915607577,0.018359405393830474,0.57493568265313,0.010110651883837373,0.004790341159150634,0.003252248435012442,0.00480219095952003,0.5286109313280648,0.5473890686719353,0.6545422597340423,0.6672910735992911,0.11350437238600737,0.13232896094732588,0.004105287848708124,0.0022608104909096673,0.7387341273772897,0.7548268557442256,0.5705044940909471,0.5793668712153129
256,128,knn_k11,20,0.5011666666666666,0.019414680645362246,0.6361041666666667,0.012017192697200025,0.13493749999999996,0.021092369864964645,2.407676399317274,0.0811977853436063,0.3706858504389475,0.005481571476549983,0.004341254568447947,0.00268712597696533,0.0047163972824629,0.49265780771250867,0.5096755256208246,0.6308373997518146,0.6413709335815188,0.12569336132637268,0.14418163867362724,0.01815637676507398,0.0012257166445089655,2.3720899008577288,2.443262897776819,0.3682834458157099,0.37308825506218507
256,256,knn_k11,20,0.47483333333333333,0.020497468107803198,0.6197291666666667,0.009374902533606412,0.1448958333333333,0.01981127837195252,100.00714619242419,3.0452870487342283,0.23943256503598262,0.004371383635335877,0.0045833732055681935,0.002096291934757894,0.004429936516085719,0.4658499218504197,0.483816744816247,0.6156204344745412,0.6238378988587922,0.1362131577618053,0.15357850890486133,0.6809468851969449,0.0009774710964341174,98.67249029743817,101.3418020874102,0.23751672168697174,0.2413484083849935
256,512,knn_k11,20,0.4340833333333333,0.020264876132815662,0.5737916666666667,0.010101730353773595,0.1397083333333333,0.024401872651271833,330.6325019196439,10.051697554693465,0.15414315815318777,0.002321713889413253,0.004531364058858888,0.0022588155761410758,0.0054564246026536836,0.4252018597779699,0.4429648068886967,0.5693643881374302,0.5782189451959032,0.12901374111213207,0.15040292555453452,2.2476279021563,0.0005191510081033463,326.22715123141757,335.03785260787026,0.15312562217730522,0.15516069412907033
256,768,knn_k11,20,0.39899999999999997,0.015402969258824872,0.548125,0.01610086763489756,0.14912499999999995,0.021730632635449023,461656492118958.6,13866296896369.633,0.11441384146391749,0.0018464665175411607,0.0034442086318071967,0.0036002634528357206,0.004859117176693942,0.39224935108165787,0.40575064891834206,0.541068483632442,0.555181516367558,0.13960113033367982,0.15864886966632008,3100598245647.6855,0.0004128824651399343,455579319557489.2,467733664680428.06,0.11360459183224322,0.11522309109559176
768,16,knn_k11,20,0.5540833333333334,0.03448228208482985,0.6600833333333334,0.016572430957353744,0.10599999999999996,0.028205140856947235,0.059768921403582885,0.0004311528199790269,1.5967952908554153,0.03752770145602751,0.007710472676100271,0.0037057082173064886,0.006306861227109069,0.5389708068881769,0.5691958597784899,0.6528201452274126,0.6673465214392541,0.09363855199486618,0.11836144800513373,9.640870141638337e-05,0.008391449149499535,0.059579960348806776,0.059957882458358994,1.5803480505223961,1.6132425311884344
768,32,knn_k11,20,0.5405,0.027080667885032203,0.6601041666666667,0.015885115578107206,0.11960416666666662,0.024036808928797792,0.12158051804504433,0.0007984500541308646,0.922615194653037,0.018843681361927257,0.006055421426702746,0.003552019826308858,0.005374793872696577,0.5286313740036626,0.5523686259963374,0.6531422078071013,0.6670661255262321,0.10906957067618134,0.1301387626571519,0.0001785388597675,0.004213575247161516,0.12123058187990003,0.12193045421018862,0.9143565871686005,0.9308738021374735
768,64,knn_k11,20,0.5103333333333333,0.029197853001257507,0.6412708333333333,0.012083314428297355,0.13093749999999998,0.023154023986218616,0.2558005951858257,0.0017001916914361475,0.5711696002042719,0.011213342691840468,0.006528838410785803,0.0027019112455176895,0.005177397158584548,0.4975368100481931,0.5231298566184734,0.6359750872921187,0.646566579374548,0.12078980156917427,0.1410851984308257,0.00038017441968315725,0.002507379651395576,0.2550554533232467,0.2565457370484047,0.5662551360875365,0.5760840643210072
