model,mean_test_accuracy_overall,mean_generalization_gap_overall,mean_snr_proxy_overall
linear_svm,0.7215793650793652,0.10549206349206346,92498173103680.75
logreg,0.7186984126984127,0.11406349206349205,92498173103680.75
mlp_reg,0.7007063492063492,0.1949880952380952,92498173103680.75
mlp_wide,0.7006706349206349,0.19540575396825394,92498173103680.75
mlp_base,0.698936507936508,0.1973395337301587,92498173103680.75
knn_k11,0.49992063492063493,0.12606944444444443,92498173103680.75
