model,intrinsic_dim,observed_dim,n,test_accuracy_mean,test_accuracy_std,generalization_gap_mean,generalization_gap_std,snr_proxy_mean,snr_proxy_std,test_accuracy_se,generalization_gap_se,snr_proxy_se,test_accuracy_ci_low,test_accuracy_ci_high,generalization_gap_ci_low,generalization_gap_ci_high,snr_proxy_ci_low,snr_proxy_ci_high
knn_k11,64,16,20,0.6004166666666666,0.02932912150782994,0.09085416666666661,0.022144476345182306,0.6003172846608384,0.023983072410539968,0.006558190941185887,0.0049516554433963736,0.005362778021926711,0.5875626124219423,0.6132707209113909,0.08114892199760972,0.1005594113357235,0.5898062397378621,0.6108283295838148
knn_k11,64,32,20,0.5773333333333334,0.02240901030144033,0.10935416666666661,0.0220895286741656,1.8466153623181722,0.08100040211512703,0.005010807034251363,0.004939368770636508,0.018112240533424178,0.5675121515462007,0.587154515120466,0.09967300387621905,0.11903532945711418,1.8111153708726608,1.8821153537636837
knn_k11,64,64,20,0.5822499999999999,0.028619683039997852,0.11266666666666665,0.023022443283388535,17.084542671070473,0.8910970374033794,0.006399555677193303,0.005147974818979021,0.1992553550182629,0.5697068708727011,0.5947931291272988,0.10257663602146777,0.12275669731186553,16.694002175234676,17.47508316690627
knn_k11,64,128,20,0.53075,0.01767539506328712,0.11285416666666663,0.014477545504345993,21.016396832658764,1.0811851324732202,0.003952338489067419,0.0032372775895064118,0.24176034524722356,0.5230034165614279,0.5384965834385722,0.10650910259123406,0.1191992307420992,20.542546555974205,21.490247109343322
knn_k11,64,256,20,0.4803333333333333,0.025947540419106577,0.11672916666666662,0.02340811754723697,32.77282051036454,1.6598589869025588,0.0058020464226045685,0.0052342142060927506,0.37115575277780544,0.4689613223450283,0.49170534432163826,0.10647010682272483,0.1269882265106084,32.04535523492004,33.50028578580904
knn_k11,64,512,20,0.42424999999999996,0.014022486119054064,0.13739583333333333,0.021391161258116867,105.84469602299575,5.236737259982265,0.0031355232175752095,0.004783209069080923,1.1709700493626332,0.41810437449355253,0.4303956255064474,0.12802074355793472,0.14677092310873194,103.54959472624499,108.1397973197465
knn_k11,64,768,20,0.3973333333333333,0.021222849872840975,0.15112499999999995,0.024359897480555157,123920204458713.38,6014647357990.34,0.0047455734991945185,0.005447038669144719,1344916035315.5913,0.38803200927491205,0.4066346573917546,0.1404488042084763,0.1618011957915236,121284169029494.81,126556239887931.94
knn_k11,256,16,20,0.593,0.028183816018774278,0.10087499999999998,0.02011112221737277,0.14508965029140222,0.0030281609694241232,0.006302092848332677,0.004496983638185181,0.0006771173774444001,0.5806478980172679,0.605352101982732,0.09206091206915702,0.10968908793084294,0.1437625002316112,0.14641680035119325
knn_k11,256,32,20,0.5705,0.0200080393199059,0.11002083333333332,0.02332764459162094,0.3111405829979862,0.0069208201744225106,0.004473933601579825,0.005216219906181974,0.0015475424370060683,0.5617310901409035,0.5792689098590965,0.09979704231721664,0.12024462434944999,0.3081073998214543,0.3141737661745181
knn_k11,256,64,20,0.538,0.02142305693455191,0.12291666666666663,0.021476050852843456,0.7467804915607577,0.018359405393830474,0.004790341159150634,0.00480219095952003,0.004105287848708124,0.5286109313280648,0.5473890686719353,0.11350437238600737,0.13232896094732588,0.7387341273772897,0.7548268557442256
knn_k11,256,128,20,0.5011666666666666,0.019414680645362246,0.13493749999999996,0.021092369864964645,2.407676399317274,0.0811977853436063,0.004341254568447947,0.0047163972824629,0.01815637676507398,0.49265780771250867,0.5096755256208246,0.12569336132637268,0.14418163867362724,2.3720899008577288,2.443262897776819
knn_k11,256,256,20,0.47483333333333333,0.020497468107803198,0.1448958333333333,0.01981127837195252,100.00714619242419,3.0452870487342283,0.0045833732055681935,0.004429936516085719,0.6809468851969449,0.4658499218504197,0.483816744816247,0.1362131577618053,0.15357850890486133,98.67249029743817,101.3418020874102
knn_k11,256,512,20,0.4340833333333333,0.020264876132815662,0.1397083333333333,0.024401872651271833,330.6325019196439,10.051697554693465,0.004531364058858888,0.0054564246026536836,2.2476279021563,0.4252018597779699,0.4429648068886967,0.12901374111213207,0.15040292555453452,326.22715123141757,335.03785260787026
knn_k11,256,768,20,0.39899999999999997,0.015402969258824872,0.14912499999999995,0.021730632635449023,461656492118958.6,13866296896369.633,0.0034442086318071967,0.004859117176693942,3100598245647.6855,0.39224935108165787,0.40575064891834206,0.13960113033367982,0.15864886966632008,455579319557489.2,467733664680428.06
knn_k11,768,16,20,0.5540833333333334,0.03448228208482985,0.10599999999999996,0.028205140856947235,0.059768921403582885,0.0004311528199790269,0.007710472676100271,0.006306861227109069,9.640870141638337e-05,0.5389708068881769,0.5691958597784899,0.09363855199486618,0.11836144800513373,0.059579960348806776,0.059957882458358994
knn_k11,768,32,20,0.5405,0.027080667885032203,0.11960416666666662,0.024036808928797792,0.12158051804504433,0.0007984500541308646,0.006055421426702746,0.005374793872696577,0.0001785388597675,0.5286313740036626,0.5523686259963374,0.10906957067618134,0.1301387626571519,0.12123058187990003,0.12193045421018862
