seed,intrinsic_dim,delta,ambient_dim,noise_sigma,observed_dim,model,train_accuracy,test_accuracy,generalization_gap,pca_explained_var,pca_total_var,pca_remaining_var,snr_proxy,nn_mean,far_mean,distance_contrast,best_val_accuracy,best_epoch
0,64,2.0,768,0.1,16,logreg,0.6991666666666667,0.6816666666666666,0.01750000000000007,46.88868176170473,122.22940692993696,75.34072516823223,0.6223550630419943,3.1676442469435857,8.124127308607163,1.5647221326845702,,
0,64,2.0,768,0.1,16,linear_svm,0.7,0.6833333333333333,0.016666666666666607,46.88868176170473,122.22940692993696,75.34072516823223,0.6223550630419943,3.1676442469435857,8.124127308607163,1.5647221326845702,,
0,64,2.0,768,0.1,16,knn_k11,0.705,0.6,0.10499999999999998,46.88868176170473,122.22940692993696,75.34072516823223,0.6223550630419943,3.1676442469435857,8.124127308607163,1.5647221326845702,,
0,64,2.0,768,0.1,16,mlp_base,0.7177083333333333,0.6833333333333333,0.03437499999999993,46.88868176170473,122.22940692993696,75.34072516823223,0.6223550630419943,3.1676442469435857,8.124127308607163,1.5647221326845702,0.65625,11.0
0,64,2.0,768,0.1,16,mlp_reg,0.715625,0.6616666666666666,0.05395833333333333,46.88868176170473,122.22940692993696,75.34072516823223,0.6223550630419943,3.1676442469435857,8.124127308607163,1.5647221326845702,0.6645833333333333,4.0
0,64,2.0,768,0.1,16,mlp_wide,0.7125,0.6766666666666666,0.035833333333333384,46.88868176170473,122.22940692993696,75.34072516823223,0.6223550630419943,3.1676442469435857,8.124127308607163,1.5647221326845702,0.6583333333333333,4.0
0,64,2.0,768,0.1,32,logreg,0.7445833333333334,0.7216666666666667,0.022916666666666696,80.46499326368448,122.22940692993696,41.76441366625248,1.9266400794393004,5.467034485841002,10.388224692742467,0.9001571546048938,,
0,64,2.0,768,0.1,32,linear_svm,0.74375,0.7233333333333334,0.02041666666666664,80.46499326368448,122.22940692993696,41.76441366625248,1.9266400794393004,5.467034485841002,10.388224692742467,0.9001571546048938,,
0,64,2.0,768,0.1,32,knn_k11,0.6916666666666667,0.575,0.1166666666666667,80.46499326368448,122.22940692993696,41.76441366625248,1.9266400794393004,5.467034485841002,10.388224692742467,0.9001571546048938,,
0,64,2.0,768,0.1,32,mlp_base,0.7979166666666667,0.7216666666666667,0.07625000000000004,80.46499326368448,122.22940692993696,41.76441366625248,1.9266400794393004,5.467034485841002,10.388224692742467,0.9001571546048938,0.75625,21.0
0,64,2.0,768,0.1,32,mlp_reg,0.7895833333333333,0.72,0.06958333333333333,80.46499326368448,122.22940692993696,41.76441366625248,1.9266400794393004,5.467034485841002,10.388224692742467,0.9001571546048938,0.71875,6.0
0,64,2.0,768,0.1,32,mlp_wide,0.7765625,0.7116666666666667,0.06489583333333337,80.46499326368448,122.22940692993696,41.76441366625248,1.9266400794393004,5.467034485841002,10.388224692742467,0.9001571546048938,0.7583333333333333,6.0
0,64,2.0,768,0.1,64,logreg,0.8354166666666667,0.8266666666666667,0.008750000000000036,115.37044041010218,122.22940692993696,6.85896651983478,16.820382498802637,8.814275362250156,13.83803800124138,0.5699575328117196,,
0,64,2.0,768,0.1,64,linear_svm,0.83375,0.8283333333333334,0.005416666666666625,115.37044041010218,122.22940692993696,6.85896651983478,16.820382498802637,8.814275362250156,13.83803800124138,0.5699575328117196,,
0,64,2.0,768,0.1,64,knn_k11,0.7075,0.5566666666666666,0.15083333333333337,115.37044041010218,122.22940692993696,6.85896651983478,16.820382498802637,8.814275362250156,13.83803800124138,0.5699575328117196,,
